season,season_end_year,rank,player_key,player_name,team,mvp_score,ridge_pred_vote_share,team_win_pct,team_conf_rank,team_conference,pts,trb,ast,games_played,rank_delta,mover_label,last_updated_utc
2025-26,2026,1,nikola_jokic,Nikola Jokić,DEN,0.9344746162927982,0.5869921083973962,0.667,3,West,29.6,12.2,11.0,32,,NEW,2026-01-24T02:19:06Z
2025-26,2026,2,shai_gilgeousalexander,Shai Gilgeous-Alexander,OKC,0.8667363964446614,0.331617809924574,0.822,1,West,32.0,4.4,6.3,43,,NEW,2026-01-24T02:19:06Z
2025-26,2026,3,cade_cunningham,Cade Cunningham,DET,0.787632837609361,0.218040358175916,0.762,1,East,25.7,5.9,9.8,36,,NEW,2026-01-24T02:19:06Z
2025-26,2026,4,luka_doncic,Luka Dončić,LAL,0.7868165910036053,0.38437384164720784,0.605,6,West,33.4,7.8,8.7,35,,NEW,2026-01-24T02:19:06Z
2025-26,2026,5,victor_wembanyama,Victor Wembanyama,SAS,0.7626200380237208,0.23004084148781753,0.689,2,West,24.5,10.9,2.9,31,,NEW,2026-01-24T02:19:06Z
2025-26,2026,6,jaylen_brown,Jaylen Brown,BOS,0.7137229654587777,0.1749818545582245,0.628,2,East,29.8,6.7,4.8,40,,NEW,2026-01-24T02:19:06Z
2025-26,2026,7,tyrese_maxey,Tyrese Maxey,PHI,0.699399119084564,0.23294105623879555,0.558,5,East,30.1,4.3,6.8,41,,NEW,2026-01-24T02:19:06Z
2025-26,2026,8,jamal_murray,Jamal Murray,DEN,0.6953798523684724,0.12881256066856198,0.667,3,West,26.0,4.3,7.3,41,,NEW,2026-01-24T02:19:06Z
2025-26,2026,9,jalen_duren,Jalen Duren,DET,0.687961215098896,0.027038689324238942,0.762,1,East,17.8,10.9,1.8,35,,NEW,2026-01-24T02:19:06Z
2025-26,2026,10,chet_holmgren,Chet Holmgren,OKC,0.6800612285126394,-0.026109572354566103,0.822,1,West,17.8,8.4,1.6,39,,NEW,2026-01-24T02:19:06Z
